banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
100.099100.099,4.536,102.367102.367,"56,40 56,40 ","16,73 16,73 ",54.458 54.458 ,30.964 30.964 ,1.000 1.000 ,25.716,6.174,3.044,6.198,80.09080.090,214.0,5.73,20.0,2727,0.0,87.72087.720
96.62996.629,2.302,97.78097.780,"46,20 46,20 ","14,16 14,16 ",65.264 65.264 ,26.590 26.590 ,888 888 ,7.066,3.01,7.28,10.378,86.86886.868,174.0,3.888,16.0,99,0.0,97.74597.745
92.92992.929,50.0,92.95492.954,"29,22 29,22 ","7,05 7,05 ",73.828 73.828 ,18.394 18.394 ,43 43 ,218.0,1160.0,1464.0,34.962,66.02666.026,16.628,776.0,0.0,00,0.0,92.94192.941
51.03151.031,1496.0,51.77951.779,"27,85 27,85 ","7,08 7,08 ",48.272 48.272 ,451 451 ,731 731 ,2.398,2.252,16.0,974.0,51.27651.276,0.0,0.0,0.0,00,0.0,51.77151.771
12.68312.683,726.0,13.04613.046,"9,71 9,71 ","2,77 2,77 ",11.303 11.303 ,925 925 ,355 355 ,50.0,876.0,16.0,0.0,13.02913.029,0.0,0.0,6.0,00,0.0,13.04013.040
25.66425.664,892.0,26.11026.110,"28,23 28,23 ","8,34 8,34 ",17.862 17.862 ,492 492 ,385 385 ,8.546,6.196,390.0,3.248,24.24824.248,2.0,2.0,0.0,00,0.0,26.06926.069
520.196520.196,1382.0,520.887520.887,"49,20 49,20 ","15,44 15,44 ",325.577 325.577 ,183.630 183.630 ,4.407 4.407 ,13.08,1466.0,16.46,225.186,357.615357.615,47.924,24.248,76.0,806806,0.0,515.368515.368
37.53937.539,18.0,37.54837.548,"16,49 16,49 ","4,08 4,08 ",32.820 32.820 ,3.900 3.900 ,19 19 ,1536.0,82.0,1582.0,19.828,23.82623.826,5.734,284.0,0.0,00,0.0,37.54037.540
28.03728.037,1510.0,28.79228.792,"65,69 65,69 ","19,34 19,34 ",21.840 21.840 ,3.469 3.469 ,650 650 ,2.0,5.664,24.0,672.0,32.34832.348,4.0,0.0,0.0,00,0.0,32.69832.698
131.978131.978,176.0,132.066132.066,"33,94 33,94 ","8,38 8,38 ",131.739 131.739 ,97 97 ,117 117 ,26.0,200.0,12.0,65.432,84.66884.668,28.202,1118.0,8.0,00,0.0,132.054132.054
2.801.1782.801.178,30.458,2.816.4072.816.407,"56,09 56,09 ","17,01 17,01 ",1.575.978 1.575.978 ,1.070.135 1.070.135 ,120.528 120.528 ,35.456,64.076,16.452,265.874,2.250.4452.250.445,407.24,208.644,1994.0,5.4065.406,0.0,2.705.9542.705.954
1.318.5261.318.526,23.988,1.330.5201.330.520,"114,90 114,90 ","43,60 43,60 ",455.785 455.785 ,840.224 840.224 ,17.155 17.155 ,3.924,30.788,5.396,125.792,1.038.2691.038.269,246.902,191.544,1780.0,7.9977.997,0.0,1.331.9721.331.972
