año,trimestre,provincia,banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2014,3,San Juan,51.031,748.0,51.779,"27,85 ","7,08 ",48.272 ,451 ,731 ,1.199,1.126,8.0,487.0,51.276,0.0,0.0,0.0,0,0.0,51.771
2014,3,San Luis,12.683,363.0,13.046,"9,71 ","2,77 ",11.303 ,925 ,355 ,25.0,438.0,8.0,0.0,13.029,0.0,0.0,3.0,0,0.0,13.040
2014,3,San Luis,12.683,363.0,13.046,"9,71 ","2,77 ",11.303 ,925 ,355 ,25.0,438.0,8.0,0.0,13.029,0.0,0.0,3.0,0,0.0,13.040
2014,3,Santa Cruz,25.664,446.0,26.110,"28,23 ","8,34 ",17.862 ,492 ,385 ,4.273,3.098,195.0,1.624,24.248,1.0,1.0,0.0,0,0.0,26.069
2014,3,Santa Cruz,25.664,446.0,26.110,"28,23 ","8,34 ",17.862 ,492 ,385 ,4.273,3.098,195.0,1.624,24.248,1.0,1.0,0.0,0,0.0,26.069
2014,3,Santa Fe,520.196,691.0,520.887,"49,20 ","15,44 ",325.577 ,183.630 ,4.407 ,6.54,733.0,8.23,112.593,357.615,23.962,12.124,38.0,806,0.0,515.368
2014,3,Santa Fe,520.196,691.0,520.887,"49,20 ","15,44 ",325.577 ,183.630 ,4.407 ,6.54,733.0,8.23,112.593,357.615,23.962,12.124,38.0,806,0.0,515.368
2014,3,Santiago Del Estero,37.539,9.0,37.548,"16,49 ","4,08 ",32.820 ,3.900 ,19 ,768.0,41.0,791.0,9.914,23.826,2.867,142.0,0.0,0,0.0,37.540
2014,3,Santiago Del Estero,37.539,9.0,37.548,"16,49 ","4,08 ",32.820 ,3.900 ,19 ,768.0,41.0,791.0,9.914,23.826,2.867,142.0,0.0,0,0.0,37.540
2014,3,Tierra Del Fuego,28.037,755.0,28.792,"65,69 ","19,34 ",21.840 ,3.469 ,650 ,1.0,2.832,12.0,336.0,32.348,2.0,0.0,0.0,0,0.0,32.698
2014,3,Tierra Del Fuego,28.037,755.0,28.792,"65,69 ","19,34 ",21.840 ,3.469 ,650 ,1.0,2.832,12.0,336.0,32.348,2.0,0.0,0.0,0,0.0,32.698
2014,3,Tucumán,131.978,88.0,132.066,"33,94 ","8,38 ",131.739 ,97 ,117 ,13.0,100.0,6.0,32.716,84.668,14.101,559.0,4.0,0,0.0,132.054
2014,3,Tucumán,131.978,88.0,132.066,"33,94 ","8,38 ",131.739 ,97 ,117 ,13.0,100.0,6.0,32.716,84.668,14.101,559.0,4.0,0,0.0,132.054
2014,4,Buenos Aires,2.801.178,15.229,2.816.407,"56,09 ","17,01 ",1.575.978 ,1.070.135 ,120.528 ,17.728,32.038,8.226,132.937,2.250.445,203.62,104.322,997.0,5.406,0.0,2.705.954
2014,4,Buenos Aires,2.801.178,15.229,2.816.407,"56,09 ","17,01 ",1.575.978 ,1.070.135 ,120.528 ,17.728,32.038,8.226,132.937,2.250.445,203.62,104.322,997.0,5.406,0.0,2.705.954
2014,4,Capital Federal,1.318.526,11.994,1.330.520,"114,90 ","43,60 ",455.785 ,840.224 ,17.155 ,1.962,15.394,2.698,62.896,1.038.269,123.451,95.772,890.0,7.997,0.0,1.331.972
2014,4,Capital Federal,1.318.526,11.994,1.330.520,"114,90 ","43,60 ",455.785 ,840.224 ,17.155 ,1.962,15.394,2.698,62.896,1.038.269,123.451,95.772,890.0,7.997,0.0,1.331.972
2014,4,Catamarca,25.472,21.0,25.493,"25,51 ","6,46 ",25.192 ,241 ,16 ,0.0,44.0,21.0,8.047,14.093,2.91,421.0,0.0,1,0.0,25.493
2014,4,Catamarca,25.472,21.0,25.493,"25,51 ","6,46 ",25.192 ,241 ,16 ,0.0,44.0,21.0,8.047,14.093,2.91,421.0,0.0,1,0.0,25.493
2014,4,Chaco,65.998,37.0,66.035,"21,87 ","5,81 ",55.024 ,10.918 ,31 ,0.0,62.0,483.0,12.837,42.106,7.908,2.6,124.0,2,0.0,66.060
2014,4,Chaco,65.998,37.0,66.035,"21,87 ","5,81 ",55.024 ,10.918 ,31 ,0.0,62.0,483.0,12.837,42.106,7.908,2.6,124.0,2,0.0,66.060
